,Class,R,G,B,H,S,V,L,A,B
0,0.0,98.0,109.0,143.0,7.0,80.0,143.0,125.0,140.0,139.0
1,3.0,141.0,105.0,125.0,137.0,65.0,141.0,121.0,143.0,111.0
2,1.0,90.0,105.0,199.0,4.0,140.0,199.0,141.0,164.0,153.0
3,2.0,115.0,145.0,143.0,32.0,53.0,145.0,151.0,122.0,144.0
4,0.0,98.0,109.0,140.0,8.0,77.0,140.0,124.0,139.0,139.0
5,0.0,109.0,119.0,148.0,8.0,67.0,148.0,134.0,138.0,138.0
6,0.0,101.0,110.0,139.0,7.0,70.0,139.0,125.0,138.0,138.0
7,3.0,150.0,115.0,140.0,141.0,59.0,150.0,132.0,144.0,113.0
8,1.0,88.0,105.0,202.0,4.0,144.0,202.0,142.0,165.0,155.0
9,1.0,41.0,55.0,162.0,3.0,190.0,162.0,99.0,171.0,161.0
10,1.0,37.0,51.0,160.0,3.0,196.0,160.0,97.0,172.0,162.0
11,0.0,35.0,39.0,52.0,7.0,83.0,52.0,43.0,133.0,133.0
12,0.0,36.0,39.0,52.0,6.0,78.0,52.0,43.0,134.0,132.0
13,1.0,42.0,58.0,174.0,4.0,193.0,174.0,106.0,175.0,163.0
14,1.0,37.0,53.0,172.0,4.0,200.0,172.0,103.0,176.0,165.0
15,0.0,35.0,38.0,51.0,6.0,80.0,51.0,43.0,133.0,133.0
16,3.0,112.0,61.0,71.0,126.0,116.0,112.0,74.0,146.0,100.0
17,0.0,32.0,34.0,49.0,4.0,88.0,49.0,38.0,135.0,132.0
18,1.0,36.0,52.0,168.0,4.0,200.0,168.0,101.0,174.0,164.0
19,1.0,42.0,57.0,169.0,4.0,192.0,169.0,103.0,173.0,162.0
20,0.0,34.0,37.0,50.0,6.0,82.0,50.0,41.0,134.0,132.0
21,3.0,105.0,54.0,59.0,123.0,124.0,105.0,65.0,145.0,99.0
22,0.0,35.0,39.0,55.0,6.0,93.0,55.0,44.0,136.0,133.0
23,1.0,44.0,60.0,174.0,4.0,191.0,174.0,107.0,174.0,163.0
24,3.0,108.0,56.0,64.0,125.0,123.0,108.0,68.0,146.0,99.0
25,0.0,38.0,41.0,56.0,5.0,82.0,56.0,46.0,135.0,132.0
26,1.0,39.0,55.0,172.0,4.0,197.0,172.0,104.0,175.0,164.0
27,1.0,43.0,58.0,177.0,3.0,193.0,177.0,107.0,175.0,164.0
28,0.0,30.0,32.0,43.0,5.0,77.0,43.0,34.0,133.0,131.0
29,3.0,105.0,51.0,56.0,123.0,131.0,105.0,63.0,145.0,97.0
30,1.0,35.0,50.0,176.0,3.0,204.0,176.0,104.0,178.0,166.0
31,0.0,36.0,39.0,56.0,5.0,91.0,56.0,45.0,135.0,133.0
32,3.0,104.0,50.0,54.0,122.0,132.0,104.0,61.0,146.0,97.0
33,1.0,40.0,55.0,170.0,3.0,195.0,170.0,103.0,174.0,163.0
34,1.0,39.0,54.0,167.0,4.0,195.0,167.0,101.0,174.0,163.0
35,3.0,102.0,48.0,49.0,121.0,135.0,102.0,58.0,145.0,96.0
36,0.0,35.0,37.0,51.0,4.0,80.0,51.0,42.0,134.0,132.0
37,1.0,41.0,58.0,183.0,4.0,198.0,183.0,110.0,178.0,166.0
38,0.0,37.0,41.0,56.0,6.0,87.0,56.0,46.0,134.0,133.0
39,4.0,108.0,162.0,230.0,13.0,135.0,230.0,184.0,147.0,166.0
40,0.0,83.0,100.0,144.0,8.0,108.0,144.0,119.0,143.0,145.0
41,0.0,75.0,92.0,137.0,8.0,115.0,137.0,111.0,144.0,145.0
42,4.0,109.0,163.0,229.0,14.0,134.0,229.0,184.0,146.0,166.0
43,3.0,132.0,104.0,138.0,155.0,63.0,138.0,123.0,146.0,118.0
44,4.0,104.0,155.0,226.0,13.0,138.0,226.0,178.0,149.0,165.0
45,0.0,77.0,93.0,130.0,9.0,104.0,130.0,109.0,141.0,143.0
46,0.0,82.0,97.0,132.0,9.0,97.0,132.0,113.0,140.0,142.0
47,4.0,98.0,150.0,222.0,13.0,142.0,222.0,174.0,150.0,166.0
48,3.0,135.0,108.0,137.0,152.0,54.0,137.0,126.0,144.0,118.0
