,Class,B,G,R,H,S,V,L,A,B
0,0,207,217,223,19,18,223,222,128,134
1,4,94,184,211,23,141,211,192,127,177
2,0,209,205,211,160,7,211,212,131,127
3,0,210,221,228,18,20,228,226,129,134
4,4,90,185,212,23,147,212,193,126,179
5,0,206,200,205,145,7,206,207,131,126
6,0,208,221,227,21,21,227,225,128,135
7,4,90,187,215,23,148,215,195,126,180
8,1,87,93,194,2,141,194,132,168,151
9,3,208,131,109,113,121,208,143,141,86
10,0,213,225,231,20,20,231,229,128,135
11,4,87,177,203,23,146,203,186,126,177
12,1,85,90,194,1,143,194,131,169,151
13,0,210,220,226,19,18,226,225,128,134
14,4,97,189,218,23,142,218,197,127,178
15,1,83,89,194,2,146,194,130,170,152
16,0,211,221,228,18,19,228,226,129,134
17,4,85,180,208,23,151,208,189,127,179
18,1,84,89,190,1,142,190,129,168,150
19,0,216,228,233,21,19,233,231,128,134
20,1,76,81,168,2,140,168,116,163,148
21,1,81,89,188,2,145,188,128,167,152
22,3,186,127,107,112,108,186,138,136,95
23,0,207,219,225,20,20,225,223,128,135
24,1,78,83,167,2,136,167,116,162,147
25,2,115,195,128,55,105,195,186,91,162
26,0,209,221,226,21,19,226,225,128,135
27,1,86,89,169,1,125,169,121,160,145
28,2,118,203,130,56,107,203,192,89,163
29,0,210,222,227,21,19,227,226,128,134
30,1,82,86,170,1,132,170,119,162,146
31,2,118,198,130,56,103,198,188,91,161
32,0,211,224,229,22,20,229,228,128,135
33,1,84,88,171,1,130,171,121,162,146
34,2,116,193,127,56,102,193,184,92,160
35,0,214,226,230,23,18,230,229,127,134
36,2,75,134,88,53,112,134,131,101,155
37,2,116,191,125,56,100,191,182,92,159
38,0,211,223,228,21,19,228,227,128,134
39,2,77,134,89,54,108,134,131,101,154
40,0,146,149,157,8,18,157,159,130,131
41,0,208,219,224,21,18,224,223,128,134
42,2,81,135,93,53,102,135,133,103,152
43,0,147,150,159,8,19,159,160,131,131
44,0,210,223,228,22,20,228,227,128,135
45,2,75,133,88,53,111,133,130,101,154
46,0,147,150,159,8,19,159,160,131,131
47,0,213,226,232,21,21,232,230,128,135
48,2,79,135,92,53,106,135,133,102,153
49,0,148,151,160,8,19,160,161,131,131
50,0,204,218,224,21,23,224,222,128,136
51,2,76,134,89,53,110,134,131,101,155
52,0,150,150,158,0,13,158,160,131,129
53,0,211,224,229,22,20,229,228,128,135
54,2,74,136,88,53,116,136,133,99,156
55,4,67,221,233,28,182,233,221,115,201
56,0,211,224,230,21,21,230,228,128,135
57,2,70,134,84,53,122,134,130,98,157
58,0,205,219,224,22,22,224,223,127,136
59,4,65,225,237,28,185,237,225,115,203
60,3,150,92,77,114,124,150,103,139,94
61,0,207,220,225,22,20,225,224,127,135
62,1,29,45,156,4,208,156,92,173,164
63,3,149,93,77,113,123,149,103,138,95
64,0,211,224,229,22,20,229,228,128,135
65,1,27,43,154,4,210,154,90,173,164
66,3,154,96,82,114,119,154,107,139,95
67,0,207,220,226,21,21,226,224,128,135
68,1,28,44,155,4,209,155,91,173,164
69,3,149,97,83,114,113,149,107,137,98
70,0,207,220,225,22,20,225,224,127,135
71,1,27,48,156,5,211,156,93,172,165
72,3,153,95,81,114,120,153,106,139,94
73,0,207,220,226,21,21,226,224,128,135
74,3,153,97,83,114,117,153,108,138,96
75,1,26,50,158,5,213,158,95,172,167
76,0,209,220,226,19,19,226,224,128,134
77,3,157,100,86,114,115,157,111,138,95
78,3,192,108,87,114,139,192,122,145,81
79,0,191,187,194,163,9,194,195,131,127
80,3,154,98,84,114,116,154,109,138,96
81,3,191,106,86,114,140,191,120,146,81
82,0,190,186,193,163,9,193,194,131,127
83,3,153,97,82,114,118,153,108,138,96
84,3,191,106,85,114,142,191,120,145,81
85,0,194,190,197,163,9,197,198,131,127
86,3,154,96,81,114,121,154,107,139,95
87,3,191,106,86,114,140,191,120,146,81
88,0,191,187,193,160,8,193,195,131,127
89,3,118,77,69,115,106,118,86,137,103
90,0,190,187,193,165,8,193,195,131,127
91,3,116,75,67,115,108,116,84,136,103
92,0,187,184,190,165,8,190,192,131,127
93,3,117,77,69,115,105,117,86,136,104
94,0,190,186,192,160,8,192,194,131,127
95,1,66,67,104,1,93,104,83,144,135
96,3,116,76,69,116,103,116,85,136,104
97,4,41,136,162,24,190,162,147,128,180
98,3,126,88,82,116,89,126,98,135,106
99,3,38,134,161,23,195,161,145,128,180
100,3,135,105,103,118,60,135,116,134,111
101,4,44,132,160,23,185,160,144,129,177
102,3,134,109,108,119,49,134,119,133,114
103,4,40,133,161,23,192,161,144,129,179
104,1,76,79,127,2,102,127,99,148,138
105,3,133,107,105,118,54,133,117,133,113
106,3,36,129,157,23,197,157,141,129,179
107,3,118,81,74,115,95,118,90,135,106
108,4,36,135,161,24,198,161,146,128,181
109,3,123,83,75,115,100,123,92,135,104
110,4,36,135,161,24,198,161,146,128,181
111,2,88,162,114,49,116,162,158,98,161
112,4,42,133,159,23,188,159,144,128,178
113,2,93,165,118,50,111,165,161,99,160
114,4,40,129,154,23,189,154,140,128,177
115,2,91,167,119,49,116,167,162,98,162
116,4,37,125,145,24,190,145,135,126,176
117,2,93,169,122,49,115,169,164,98,162
118,2,93,168,121,49,114,168,163,98,162
119,4,42,115,130,25,173,130,124,125,169
120,2,89,161,118,48,114,161,157,100,161
121,4,77,180,207,24,160,207,188,126,183
122,4,91,188,215,23,147,215,196,126,180
123,2,93,162,124,47,109,162,159,102,160
124,0,222,214,225,158,12,225,221,133,125
125,4,86,184,211,24,151,211,192,126,180
126,0,227,218,231,159,14,231,225,134,125
127,4,83,182,207,24,153,207,190,125,181
128,0,222,214,225,158,12,225,221,133,125
129,4,86,184,210,24,151,210,192,126,180
130,0,226,219,228,157,10,228,225,132,126
131,4,82,183,210,24,155,210,191,126,182
