ID,Labeled Data,Label,Created By,Project Name,Created At,Seconds to Label,External ID,Agreement,Dataset Name,Reviews,View Label
cjmb1tj2hooay0728o0a4rrlu,https://ci.mil.ufl.edu/labelme/datasets/navigator-datasets/navigator_pointgrey_wauburg_2016_11_12/2016-11-12_chained1_2016-11-12-13-08-10_bag__stereo_right_image_raw10981832029758.png,"{""None"":[{""geometry"":{""x"":413,""y"":252}}]}",kma1660@gmail.com,navigator_computer_vision,1537476515000,1.605,2016-11-12_chained1_2016-11-12-13-08-10_bag__stereo_right_image_raw10981832029758,,navigator_pointgrey_wauburg_2016_11_12.json,[],https://image-segmentation-v4.labelbox.com?project=cjm82v7349sed0780ftl7pawi&label=cjmb1tj2hooay0728o0a4rrlu
cjm85ajvtha8u0728qwsuflw7,https://ci.mil.ufl.edu/labelme/datasets/navigator-datasets/navigator_pointgrey_wauburg_2016_11_12/2016-11-12_dock_2016-11-12-14-15-09_bag__stereo_right_image_raw14790280664810.png,"{""None"":[{""geometry"":{""x"":477,""y"":168}}]}",kma1660@gmail.com,navigator_computer_vision,1537300949000,1.122,2016-11-12_dock_2016-11-12-14-15-09_bag__stereo_right_image_raw14790280664810,,navigator_pointgrey_wauburg_2016_11_12.json,[],https://image-segmentation-v4.labelbox.com?project=cjm82v7349sed0780ftl7pawi&label=cjm85ajvtha8u0728qwsuflw7
cjmb1thsmd6gj0780wfuqzhx4,https://ci.mil.ufl.edu/labelme/datasets/navigator-datasets/navigator_pointgrey_wauburg_2016_11_12/2016-11-12_lookatobjects_ira_2016-11-12-11-14-45_bag__stereo_right_image_raw4104922580729.png,"{""circle_green"":[{""geometry"":[{""x"":596,""y"":50},{""x"":596,""y"":125},{""x"":665,""y"":125},{""x"":665,""y"":50}]}],""triangle_red"":[{""geometry"":[{""x"":519,""y"":63},{""x"":519,""y"":139},{""x"":560,""y"":139},{""x"":560,""y"":63}]}]}",kma1660@gmail.com,navigator_computer_vision,1537476513000,11.335,2016-11-12_lookatobjects_ira_2016-11-12-11-14-45_bag__stereo_right_image_raw4104922580729,,navigator_pointgrey_wauburg_2016_11_12.json,[],https://image-segmentation-v4.labelbox.com?project=cjm82v7349sed0780ftl7pawi&label=cjmb1thsmd6gj0780wfuqzhx4
cjmb1t8znd6dn0780jeh10ld0,https://ci.mil.ufl.edu/labelme/datasets/navigator-datasets/navigator_pointgrey_wauburg_2016_11_12/2016-11-12_detect6_2016-11-12-15-01-06_bag__right_right_image_raw17519086455591.png,"{""triangle_red"":[{""geometry"":[{""x"":576,""y"":253},{""x"":576,""y"":369},{""x"":684,""y"":369},{""x"":684,""y"":253}]}],""target_large"":[{""geometry"":[{""x"":554,""y"":153},{""x"":554,""y"":230},{""x"":617,""y"":230},{""x"":617,""y"":153}]}],""target_small"":[{""geometry"":[{""x"":659,""y"":171},{""x"":659,""y"":228},{""x"":702,""y"":228},{""x"":702,""y"":171}]}]}",kma1660@gmail.com,navigator_computer_vision,1537476501000,12.444,2016-11-12_detect6_2016-11-12-15-01-06_bag__right_right_image_raw17519086455591,,navigator_pointgrey_wauburg_2016_11_12.json,[],https://image-segmentation-v4.labelbox.com?project=cjm82v7349sed0780ftl7pawi&label=cjmb1t8znd6dn0780jeh10ld0
cjmb1szh6oo1j0728va379n07,https://ci.mil.ufl.edu/labelme/datasets/navigator-datasets/navigator_pointgrey_wauburg_2016_11_12/2016-11-12_detect4_2016-11-12-14-53-37_bag__right_right_image_raw17077948847805.png,"{""circle_green"":[{""geometry"":[{""x"":283,""y"":231},{""x"":283,""y"":342},{""x"":387,""y"":342},{""x"":387,""y"":231}]}],""target_large"":[{""geometry"":[{""x"":250,""y"":150},{""x"":250,""y"":219},{""x"":320,""y"":219},{""x"":320,""y"":150}]}],""target_small"":[{""geometry"":[{""x"":355,""y"":158},{""x"":355,""y"":207},{""x"":404,""y"":207},{""x"":404,""y"":158}]}]}",kma1660@gmail.com,navigator_computer_vision,1537476489000,12.515,2016-11-12_detect4_2016-11-12-14-53-37_bag__right_right_image_raw17077948847805,,navigator_pointgrey_wauburg_2016_11_12.json,[],https://image-segmentation-v4.labelbox.com?project=cjm82v7349sed0780ftl7pawi&label=cjmb1szh6oo1j0728va379n07
cjmb1spnzonwr0728d4869308,https://ci.mil.ufl.edu/labelme/datasets/navigator-datasets/navigator_pointgrey_wauburg_2016_11_12/2016-11-12_chained1_2016-11-12-13-08-10_bag__stereo_right_image_raw10967951049195.png,"{""None"":[{""geometry"":{""x"":420,""y"":246}}]}",kma1660@gmail.com,navigator_computer_vision,1537476476000,1.227,2016-11-12_chained1_2016-11-12-13-08-10_bag__stereo_right_image_raw10967951049195,,navigator_pointgrey_wauburg_2016_11_12.json,[],https://image-segmentation-v4.labelbox.com?project=cjm82v7349sed0780ftl7pawi&label=cjmb1spnzonwr0728d4869308
cjmb1sooqonvj0728s11xyclx,https://ci.mil.ufl.edu/labelme/datasets/navigator-datasets/navigator_pointgrey_wauburg_2016_11_12/2016-11-12_dock2_2016-11-12-14-16-13_bag__stereo_right_image_raw14865564297980.png,"{""None"":[{""geometry"":{""x"":427,""y"":248}}]}",kma1660@gmail.com,navigator_computer_vision,1537476475000,1.362,2016-11-12_dock2_2016-11-12-14-16-13_bag__stereo_right_image_raw14865564297980,,navigator_pointgrey_wauburg_2016_11_12.json,[],https://image-segmentation-v4.labelbox.com?project=cjm82v7349sed0780ftl7pawi&label=cjmb1sooqonvj0728s11xyclx
cjmb1snokd67k0780m32tlxk9,https://ci.mil.ufl.edu/labelme/datasets/navigator-datasets/navigator_pointgrey_wauburg_2016_11_12/2016-11-12_dock_circle_2016-11-12-14-40-10_bag__stereo_left_image_raw16294818013252.png,"{""None"":[{""geometry"":{""x"":422,""y"":291}}]}",kma1660@gmail.com,navigator_computer_vision,1537476474000,1.942,2016-11-12_dock_circle_2016-11-12-14-40-10_bag__stereo_left_image_raw16294818013252,,navigator_pointgrey_wauburg_2016_11_12.json,[],https://image-segmentation-v4.labelbox.com?project=cjm82v7349sed0780ftl7pawi&label=cjmb1snokd67k0780m32tlxk9
cjmb1sm2vd66w0780gsva53et,https://ci.mil.ufl.edu/labelme/datasets/navigator-datasets/navigator_pointgrey_wauburg_2016_11_12/2016-11-12_chained1_2016-11-12-13-08-10_bag__right_right_image_raw10747142319212.png,"{""None"":[{""geometry"":{""x"":319,""y"":326}}]}",kma1660@gmail.com,navigator_computer_vision,1537476472000,3.005,2016-11-12_chained1_2016-11-12-13-08-10_bag__right_right_image_raw10747142319212,,navigator_pointgrey_wauburg_2016_11_12.json,[],https://image-segmentation-v4.labelbox.com?project=cjm82v7349sed0780ftl7pawi&label=cjmb1sm2vd66w0780gsva53et
cjmb1sjr0onri0728e9bx0ibj,https://ci.mil.ufl.edu/labelme/datasets/navigator-datasets/navigator_pointgrey_wauburg_2016_11_12/2016-11-12_2016-11-12-12-56-46_bag__stereo_left_image_raw10050678171174.png,"{""None"":[{""geometry"":{""x"":513,""y"":180}}]}",kma1660@gmail.com,navigator_computer_vision,1537476469000,3.321,2016-11-12_2016-11-12-12-56-46_bag__stereo_left_image_raw10050678171174,,navigator_pointgrey_wauburg_2016_11_12.json,[],https://image-segmentation-v4.labelbox.com?project=cjm82v7349sed0780ftl7pawi&label=cjmb1sjr0onri0728e9bx0ibj
